activity_id,stage,source_machine,source_cores,source_speed_mhz,source_peak_gflops,c3d_reference_gflops,source_speedup_vs_c3d,observed_runtime_seconds,et0_c3d_seconds,avg_cpu_percent
sg1iterdeconid0000912,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.338000,0.613316,99.7041
sg1iterdeconid0000913,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.344000,0.624204,100.0
sg1iterdeconid0000914,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,1.678000,3.044807,75.8641
sg1iterdeconid0000915,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.175000,0.317545,100.0
sg1iterdeconid0000916,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.214000,0.250769,100.0
sg1iterdeconid0000917,sg1iterdecon,compute-5,48,1996,766.464000,422.400000,1.814545455,0.605000,1.097800,33.0579
sg1iterdeconid0000918,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.837000,0.980812,44.6834
sg1iterdeconid0000919,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.124000,0.145305,100.0
sg1iterdeconid0000920,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.447000,0.487636,99.7763
sg1iterdeconid0000921,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.148000,0.298422,100.0
sg1iterdeconid0000922,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.481000,0.969871,99.7921
sg1iterdeconid0000923,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.443000,0.483273,100.0
sg1iterdeconid0000924,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.179000,0.195273,100.0
sg1iterdeconid0000925,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.207000,0.312194,99.5169
sg1iterdeconid0000926,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.100000,0.150818,99.0
sg1iterdeconid0000927,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.437000,0.881151,99.7712
sg1iterdeconid0000928,sg1iterdecon,compute-4,48,1659,637.056000,422.400000,1.508181818,0.259000,0.390619,100.0
sg1iterdeconid0000929,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.225000,0.453682,100.0
sg1iterdeconid0000930,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.243000,0.265091,100.0
sg1iterdeconid0000931,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.506000,0.552000,84.1897
sg1iterdeconid0000932,sg1iterdecon,cc-worker-5,48,1200,460.800000,422.400000,1.090909091,0.348000,0.379636,92.2414
sg1iterdeconid0000933,sg1iterdecon,compute-3,48,1289,494.976000,422.400000,1.171818182,0.332000,0.389044,99.6988
sg1iterdeconid0000934,sg1iterdecon,cc-worker-4,48,2218,851.712000,422.400000,2.016363636,0.152000,0.306487,100.0
