scenario_id,interference_seed,algorithm,topology_makespan,uprank_makespan,topology_cost,uprank_cost,makespan_gain_uprank_percent,cost_gain_uprank_percent
cloud_homo,30,prism_cc_time,112.064,112.202,0.743613,0.788991,-0.12314391776128394,-6.102367763877182
cluster_hetero,1,prism_cc_cost,313.312,293.451,0.0,0.0,6.339048616075985,0.0
cluster_hetero,1,prism_cc_time,313.312,293.451,0.0,0.0,6.339048616075985,0.0
cluster_hetero,2,prism_cc_cost,323.159,293.451,0.0,0.0,9.192997874111496,0.0
cluster_hetero,2,prism_cc_time,323.159,293.451,0.0,0.0,9.192997874111496,0.0
cluster_hetero,3,prism_cc_cost,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,3,prism_cc_time,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,4,prism_cc_cost,354.329,310.818,0.0,0.0,12.279830327181806,0.0
cluster_hetero,4,prism_cc_time,354.329,310.818,0.0,0.0,12.279830327181806,0.0
cluster_hetero,5,prism_cc_cost,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,5,prism_cc_time,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,6,prism_cc_cost,310.818,293.451,0.0,0.0,5.587514236627211,0.0
cluster_hetero,6,prism_cc_time,310.818,293.451,0.0,0.0,5.587514236627211,0.0
cluster_hetero,7,prism_cc_cost,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,7,prism_cc_time,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,8,prism_cc_cost,356.205,310.818,0.0,0.0,12.741820019370868,0.0
cluster_hetero,8,prism_cc_time,356.205,310.818,0.0,0.0,12.741820019370868,0.0
cluster_hetero,9,prism_cc_cost,356.448,293.451,0.0,0.0,17.67354565041744,0.0
cluster_hetero,9,prism_cc_time,356.448,293.451,0.0,0.0,17.67354565041744,0.0
cluster_hetero,10,prism_cc_cost,326.68,314.55,0.0,0.0,3.7131137504591636,0.0
cluster_hetero,10,prism_cc_time,326.68,314.55,0.0,0.0,3.7131137504591636,0.0
cluster_hetero,11,prism_cc_cost,326.437,314.315,0.0,0.0,3.713427093129766,0.0
cluster_hetero,11,prism_cc_time,326.437,314.315,0.0,0.0,3.713427093129766,0.0
cluster_hetero,12,prism_cc_cost,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,12,prism_cc_time,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,13,prism_cc_cost,310.818,293.451,0.0,0.0,5.587514236627211,0.0
cluster_hetero,13,prism_cc_time,310.818,293.451,0.0,0.0,5.587514236627211,0.0
cluster_hetero,14,prism_cc_cost,324.595,293.451,0.0,0.0,9.594725735146877,0.0
cluster_hetero,14,prism_cc_time,324.595,293.451,0.0,0.0,9.594725735146877,0.0
cluster_hetero,15,prism_cc_cost,324.595,293.451,0.0,0.0,9.594725735146877,0.0
cluster_hetero,15,prism_cc_time,324.595,293.451,0.0,0.0,9.594725735146877,0.0
cluster_hetero,16,prism_cc_cost,313.161,293.451,0.0,0.0,6.293887169858309,0.0
cluster_hetero,16,prism_cc_time,313.161,293.451,0.0,0.0,6.293887169858309,0.0
cluster_hetero,17,prism_cc_cost,317.197,293.451,0.0,0.0,7.486199428115644,0.0
cluster_hetero,17,prism_cc_time,317.197,293.451,0.0,0.0,7.486199428115644,0.0
cluster_hetero,18,prism_cc_cost,326.437,314.315,0.0,0.0,3.713427093129766,0.0
cluster_hetero,18,prism_cc_time,326.437,314.315,0.0,0.0,3.713427093129766,0.0
cluster_hetero,19,prism_cc_cost,325.377,293.451,0.0,0.0,9.812002692261586,0.0
cluster_hetero,19,prism_cc_time,325.377,293.451,0.0,0.0,9.812002692261586,0.0
cluster_hetero,20,prism_cc_cost,356.205,314.315,0.0,0.0,11.760081975267047,0.0
cluster_hetero,20,prism_cc_time,356.205,314.315,0.0,0.0,11.760081975267047,0.0
cluster_hetero,21,prism_cc_cost,326.437,310.818,0.0,0.0,4.784690460946531,0.0
cluster_hetero,21,prism_cc_time,326.437,310.818,0.0,0.0,4.784690460946531,0.0
cluster_hetero,22,prism_cc_cost,327.03,293.451,0.0,0.0,10.267865333455632,0.0
cluster_hetero,22,prism_cc_time,327.03,293.451,0.0,0.0,10.267865333455632,0.0
cluster_hetero,23,prism_cc_cost,356.205,293.451,0.0,0.0,17.617383248410317,0.0
cluster_hetero,23,prism_cc_time,356.205,293.451,0.0,0.0,17.617383248410317,0.0
cluster_hetero,24,prism_cc_cost,314.315,293.451,0.0,0.0,6.637926920446042,0.0
cluster_hetero,24,prism_cc_time,314.315,293.451,0.0,0.0,6.637926920446042,0.0
cluster_hetero,25,prism_cc_cost,326.437,293.451,0.0,0.0,10.104859436889809,0.0
cluster_hetero,25,prism_cc_time,326.437,293.451,0.0,0.0,10.104859436889809,0.0
cluster_hetero,26,prism_cc_cost,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,26,prism_cc_time,293.451,293.451,0.0,0.0,0.0,0.0
cluster_hetero,27,prism_cc_cost,314.412,293.451,0.0,0.0,6.666730277470313,0.0
cluster_hetero,27,prism_cc_time,314.412,293.451,0.0,0.0,6.666730277470313,0.0
cluster_hetero,28,prism_cc_cost,326.437,310.818,0.0,0.0,4.784690460946531,0.0
cluster_hetero,28,prism_cc_time,326.437,310.818,0.0,0.0,4.784690460946531,0.0
cluster_hetero,29,prism_cc_cost,326.437,314.315,0.0,0.0,3.713427093129766,0.0
cluster_hetero,29,prism_cc_time,326.437,314.315,0.0,0.0,3.713427093129766,0.0
cluster_hetero,30,prism_cc_cost,326.437,314.315,0.0,0.0,3.713427093129766,0.0
cluster_hetero,30,prism_cc_time,326.437,314.315,0.0,0.0,3.713427093129766,0.0
cluster_homo,1,prism_cc_cost,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,1,prism_cc_time,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,2,prism_cc_cost,310.858,292.983,0.0,0.0,5.750213924042489,0.0
cluster_homo,2,prism_cc_time,310.858,292.983,0.0,0.0,5.750213924042489,0.0
cluster_homo,3,prism_cc_cost,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,3,prism_cc_time,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,4,prism_cc_cost,313.685,292.983,0.0,0.0,6.599614262715781,0.0
cluster_homo,4,prism_cc_time,313.685,292.983,0.0,0.0,6.599614262715781,0.0
cluster_homo,5,prism_cc_cost,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,5,prism_cc_time,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,6,prism_cc_cost,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,6,prism_cc_time,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,7,prism_cc_cost,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,7,prism_cc_time,292.983,292.983,0.0,0.0,0.0,0.0
cluster_homo,8,prism_cc_cost,314.916,292.983,0.0,0.0,6.964714400030482,0.0
cluster_homo,8,prism_cc_time,314.916,292.983,0.0,0.0,6.964714400030482,0.0
cluster_homo,9,prism_cc_cost,312.076,292.983,0.0,0.0,6.118060985144649,0.0
cluster_homo,9,prism_cc_time,312.076,292.983,0.0,0.0,6.118060985144649,0.0
cluster_homo,10,prism_cc_cost,314.025,292.983,0.0,0.0,6.700740386911861,0.0
cluster_homo,10,prism_cc_time,314.025,292.983,0.0,0.0,6.700740386911861,0.0
cluster_homo,11,prism_cc_cost,313.782,292.983,0.0,0.0,6.628487293726211,0.0
